Periode,Harga,tranformasi
1,-,#VALUE!
2,48650,0.004533761
3,47150,0.004605313
4,48750,0.004529108
5,51500,0.004406526
6,41400,0.004914732
7,47650,0.004581087
8,47400,0.004593152
9,45250,0.004701005
10,49900,0.004476615
11,52150,0.004378979
12,49150,0.004510641
13,46500,0.004637389
14,43650,0.004786388
15,41650,0.00489996
16,38900,0.005070201
17,34400,0.005391639
18,36650,0.005223517
19,33750,0.005443311
20,34750,0.005364418
21,32150,0.005577114
22,26900,0.006097108
23,24250,0.006421613
24,31650,0.005620994
25,32000,0.00559017
26,27500,0.006030227
27,28250,0.005949641
28,31650,0.005620994
29,31150,0.005665927
30,29650,0.005807479
31,27750,0.006003002
32,31900,0.005598925
33,31500,0.005634362
34,28000,0.005976143
35,27650,0.006013848
36,25150,0.006305667
37,27500,0.006030227
38,29250,0.005847053
39,30900,0.005688801
40,34500,0.005383819
41,37750,0.00514685
42,44250,0.004753827
43,47750,0.004576288
44,43000,0.004822428
45,42000,0.0048795
46,36750,0.005216405
47,34650,0.005372153
48,32250,0.00556846
49,31750,0.005612135
50,32900,0.005513178
51,33650,0.005451393
52,35000,0.005345225
53,32400,0.005555556
54,32000,0.00559017
55,27000,0.006085806
56,24250,0.006421613
57,21500,0.006819943
58,23000,0.006593805
59,23150,0.006572408
60,23400,0.006537205
61,23000,0.006593805
62,21650,0.006796277
63,22150,0.006719131
64,21900,0.006757374
65,25150,0.006305667
66,25750,0.00623177
67,24900,0.006337243
68,24900,0.006337243
69,27000,0.006085806
70,26750,0.006114178
71,30400,0.005735393
72,32500,0.005547002
73,28250,0.005949641
74,33500,0.005463584
75,58250,0.004143354
76,55000,0.004264014
77,55900,0.004229549
78,58750,0.004125685
79,65150,0.003917805
80,71500,0.003739788
81,70000,0.003779645
82,68150,0.003830602
83,64000,0.003952847
84,66500,0.003877834
85,80250,0.003530023
86,75750,0.003633362
87,67650,0.003844732
88,64250,0.003945149
89,55400,0.004248593
90,46400,0.004642383
91,44250,0.004753827
92,43650,0.004786388
93,51000,0.004428074
94,45500,0.004688072
95,43750,0.004780914
96,38650,0.005086573
97,39650,0.00502202
98,43250,0.00480847
99,42150,0.00487081
100,36500,0.005234239
101,34000,0.005423261
102,36250,0.005252257
103,40000,0.005
104,40150,0.004990651
105,41650,0.00489996
106,43650,0.004786388
107,46650,0.004629927
108,42150,0.00487081
109,42650,0.004842175
110,42250,0.004865043
111,43400,0.004800154
112,42400,0.004856429
113,48650,0.004533761
114,45250,0.004701005
115,41250,0.00492366
116,32250,0.00556846
117,29900,0.005783149
118,29900,0.005783149
119,25900,0.006213698
120,25150,0.006305667
121,27500,0.006030227
122,23750,0.006488857
123,23250,0.006558258
124,19900,0.007088812
125,21000,0.006900656
126,28000,0.005976143
127,-,#VALUE!
128,21650,0.006796277
129,21150,0.006876142
130,21150,0.006876142
131,22900,0.006608186
132,21000,0.006900656
133,26500,0.006142951
134,27750,0.006003002
135,27500,0.006030227
136,30400,0.005735393
137,25750,0.00623177
138,-,#VALUE!
139,24000,0.006454972
140,21650,0.006796277
141,23900,0.006468462
142,27150,0.006068971
143,27400,0.006041221
144,34650,0.005372153
145,42400,0.004856429
146,49500,0.004494666
147,40500,0.00496904
148,37750,0.00514685
149,44650,0.004732485
150,43750,0.004780914
151,44750,0.004727195
152,44400,0.00474579
153,53750,0.004313311
154,51400,0.004410811
155,57000,0.004188539
156,66000,0.003892495
157,65400,0.003910309
158,61750,0.004024218
159,54650,0.004277647
160,57250,0.004179384
161,45500,0.004688072
162,47000,0.004612656
163,51750,0.00439587
164,46400,0.004642383
165,43250,0.00480847
166,45650,0.004680364
167,47650,0.004581087
168,48650,0.004533761
169,50150,0.004465443
170,50750,0.004438968
171,49250,0.004506059
172,44650,0.004732485
173,43150,0.004814039
174,31250,0.005656854
175,31250,0.005656854
176,37150,0.005188246
177,36900,0.005205792
178,28400,0.005933908
179,26650,0.006125639
180,25400,0.006274558
181,22650,0.006644555
182,23500,0.006523281
183,24650,0.006369298
184,30400,0.005735393
185,28900,0.005882353
186,36000,0.005270463
187,29400,0.005832118
188,24650,0.006369298
189,25000,0.006324555
190,23150,0.006572408
191,22650,0.006644555
192,22400,0.006681531
193,25900,0.006213698
194,25750,0.00623177
195,27900,0.005986843
196,33500,0.005463584
197,44150,0.004759208
198,38750,0.005080005
199,38150,0.005119797
200,47500,0.004588315
201,48400,0.004545455
202,56150,0.004220123
203,52150,0.004378979
204,42650,0.004842175
205,39000,0.005063697
206,38150,0.005119797
207,40500,0.00496904
208,42400,0.004856429
209,38400,0.005103104
